Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,1655-1N5817CT-ND,1N5817,SMC Diode Solutions,DIODE SCHOTTKY 20V 1A DO41,,3,0,$0.18,$0.72
2,1528-5584-ND,5584,Adafruit Industries LLC,SHORT PLUG HEADERS FOR RASPBERRY,,1,0,$0.95,$0.95
3,493-13396-ND,UKL1C101KPDANA,Nichicon,CAP ALUM 100UF 10% 16V RADIAL TH,,1,0,$0.54,$0.54
4,2648-SC1633-ND,SC1633,Raspberry Pi,RASPBERRY PI PICO 2 W RP2350,,1,0,$7.00,$7.00
5,399-C330C104J2H5TA-ND,C330C104J2H5TA,KEMET,CAP CER 0.1UF 200V X8R RADIAL,,1,0,$1.03,$1.03
6,13-MFR-25FBF52-34K8-ND,MFR-25FBF52-34K8,YAGEO,RES 34.8K OHM 1% 1/4W AXIAL,,1,0,$0.04,$0.39
7,10.2KXBK-ND,MFR-25FBF52-10K2,YAGEO,RES 10.2K OHM 1% 1/4W AXIAL,,1,0,$0.04,$0.39
8,13-MFR-25FBF52-5K76-ND,MFR-25FBF52-5K76,YAGEO,RES 5.76K OHM 1% 1/4W AXIAL,,2,0,$0.04,$0.39
9,13-MFR-25FTE52-8K2CT-ND,MFR-25FTE52-8K2,YAGEO,RES 8.2K OHM 1% 1/4W AXIAL,,2,0,$0.04,$0.37
10,LM2940T-8.0/NOPB-ND,LM2940T-8.0/NOPB,Texas Instruments,IC REG LINEAR 8V 1A TO220-3,,1,0,$1.77,$1.77
11,2057-PH1RB-07-UA-ND,PH1RB-07-UA,Adam Tech,CONN HEADER R/A 7POS 2.54MM,,1,0,$0.18,$0.18
12,1N4728A-ND,1N4728A,onsemi,DIODE ZENER 3.3V 1W DO41,,3,0,$0.16,$0.64